商品マスタ用テンプレート,,,,,,,,,,,,,,,,,,,,,
商品マスタID,Mycaアプリ上でのID,商品名,買取名,商品名カナ,カード番号,レアリティ,封入パック,キーワード,JANコード,表示順,ジャンル,カテゴリ,販売店舗価格,買取価格,買取専用,自動印刷,店舗タブレット表示,在庫数無限商品,端数処理を無効にする,商品一覧に表示しない,アップロードエラー
ハンドル名,（この部分は変更しないでください）,,,,,,,,,,,,,,,,,,,,
id,myca_item_id,display_name,buy_display_name,display_name_ruby,cardnumber,rarity,pack_name,keyword,readonly_product_code,order_number,genre_display_name,category_display_name,sell_price,buy_price,is_buy_only,allow_auto_print_label,tablet_allowed,infinite_stock,disallow_round,hidden,upload_error
この下の行からデータ開始,（この下からデータを記入してください）,,,,,,,,,,,,,,,,,,,,
1161928,600549685,【PSA10】黒き魔術師－ブラック・マジシャン,,,INFO-JP006,クォーターセンチュリーシークレット,INFINITE FORBIDDEN,INFO-JP006くろきまじゅつしブラック・マジシャン くろきまじゅつしぶらっく・まじしゃん 黒き魔術師ブラックマジシャン a00342673,,0,遊戯王,PSA,0,14000,,https://static.mycalinks.io/app/item/image/YUGI/card/INFO-JP/INFO-JP006d.jpg,,,,,
1162429,600549180,【PSA10】清冽の水霊使いエリア,,,QCCP-JP190,クォーターセンチュリーシークレット,QUARTER CENTURY CHRONICLE side:PRIDE,QCCP-JP190せいれつのすいれいつかいエリア せいれつのすいれいつかいえりあ 清冽の水霊使いエリア a73309655,,0,遊戯王,PSA,0,15000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCCP-JP/QCCP-JP190d.jpg,,,,,
1163463,600547840,【PSA10】(新)真紅眼の黒竜,,,QCCP-JP108,クォーターセンチュリーシークレット,QUARTER CENTURY CHRONICLE side:PRIDE,QCCP-JP108レッドアイズブラックドラゴン れっどあいずぶらっくどらごん 真紅眼の黒竜 a74677422,,0,遊戯王,PSA,0,64000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCCP-JP/QCCP-JP108e.jpg,,,,,
1163466,600547835,【PSA10】真紅眼の黒竜,,,QCCP-JP108,クォーターセンチュリーシークレット,QUARTER CENTURY CHRONICLE side:PRIDE,QCCP-JP108レッドアイズブラックドラゴン れっどあいずぶらっくどらごん 真紅眼の黒竜 a74677422,,0,遊戯王,PSA,0,31000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCCP-JP/QCCP-JP108d.jpg,,,,,
1166292,600545765,【PSA10】増援,,,ART1-JP001,クォーターセンチュリーシークレット,YU-GI-OH！ CARD GAME ART WORKS,ART1-JP001ぞうえん a32807846,,0,遊戯王,PSA,0,10000,,https://static.mycalinks.io/app/item/image/YUGI/card/books/ART1-JP001.jpg,,,,,
1166369,600545570,【PSA10】I：Pマスカレーナ,,,QCCU-JP191,クォーターセンチュリーシークレット,QUARTER CENTURY CHRONICLE side:UNITY,QCCU-JP191アイピーマスカレーナ あいぴーますかれーな IPマスカレーナ a65741786,,0,遊戯王,PSA,0,23000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCCU-JP/QCCU-JP191d.jpg,,,,,
1166401,600545515,【PSA10】蒼翠の風霊使いウィン,,,QCCU-JP188,クォーターセンチュリーシークレット,QUARTER CENTURY CHRONICLE side:UNITY,QCCU-JP188そうすいのふうれいつかいウィン そうすいのふうれいつかいうぃん 蒼翠の風霊使いウィン a30674956,,0,遊戯王,PSA,0,13000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCCU-JP/QCCU-JP188d.jpg,,,,,
1172305,600538570,【PSA10】青眼の究極竜,,,TDPP-JP018,クォーターセンチュリーシークレット,PREMIUM PACK 決闘者伝説 QUARTER CENTURY EDITION,TDPP-JP018ブルーアイズアルティメットドラゴン ぶるーあいずあるてぃめっとどらごん 青眼の究極竜 -,,0,遊戯王,PSA,0,26000,,https://static.mycalinks.io/app/item/image/YUGI/card/TDPP-JP/TDPP-JP018f.jpg,,,,,
1172333,600538540,【PSA10】メテオ・ブラック・ドラゴン,,,TDPP-JP017,クォーターセンチュリーシークレット,PREMIUM PACK 決闘者伝説 QUARTER CENTURY EDITION,TDPP-JP017メテオブラックドラゴン めておぶらっくどらごん メテオブラックドラゴン -,,0,遊戯王,PSA,0,8000,,https://static.mycalinks.io/app/item/image/YUGI/card/TDPP-JP/TDPP-JP017f.jpg,,,,,
1172354,600538510,【PSA10】ファイヤー・ウイング・ペガサス,,,TDPP-JP016,クォーターセンチュリーシークレット,PREMIUM PACK 決闘者伝説 QUARTER CENTURY EDITION,TDPP-JP016ファイヤーウイングペガサス ふぁいやーういんぐぺがさす ファイヤーウイングペガサス -,,0,遊戯王,PSA,0,9000,,https://static.mycalinks.io/app/item/image/YUGI/card/TDPP-JP/TDPP-JP016f.jpg,,,,,
1172376,600538480,【PSA10】エビルナイト・ドラゴン,,,TDPP-JP015,クォーターセンチュリーシークレット,PREMIUM PACK 決闘者伝説 QUARTER CENTURY EDITION,TDPP-JP015エビルナイトドラゴン えびるないとどらごん エビルナイトドラゴン -,,0,遊戯王,PSA,0,8000,,https://static.mycalinks.io/app/item/image/YUGI/card/TDPP-JP/TDPP-JP015f.jpg,,,,,
