ラウンジ商品名,型番,ラウンジ価格,ページ,レアリティ判定,正規化名,ベース名,型番候補,ラウンジraw
キングス・ナイト(旧アジア版/英語表記),EEN-AE006,257600,1,,キングスナイト旧アジア版英語表記,キングスナイト,EEN-AE006,"キングス・ナイト(旧アジア版/英語表記) 型番: EEN-AE006 レアリティ/種別: - / PSA10 買取価格: ¥257,600"
黒炎弾(旧アジア版/英語表記),SOD-AE042,230000,1,,黒炎弾旧アジア版英語表記,黒炎弾,SOD-AE042,"黒炎弾(旧アジア版/英語表記) 型番: SOD-AE042 レアリティ/種別: - / PSA10 買取価格: ¥230,000"
ウォータードラゴン(旧アジア版/英語表記),EEN-AE015,211600,1,,ウォタドラゴン旧アジア版英語表記,ウォタドラゴン,EEN-AE015,"ウォータードラゴン(旧アジア版/英語表記) 型番: EEN-AE015 レアリティ/種別: - / PSA10 買取価格: ¥211,600"
アームドドラゴンLV5(旧アジア版/英語表記),SOD-AE014,184000,1,,アムドドラゴンLV5旧アジア版英語表記,アムドドラゴンLV5,SOD-AE014,"アームドドラゴンLV5(旧アジア版/英語表記) 型番: SOD-AE014 レアリティ/種別: - / PSA10 買取価格: ¥184,000"
パワーボンド(旧アジア版/英語表記),CRV-AE037,174800,1,,パワボンド旧アジア版英語表記,パワボンド,CRV-AE037,"パワーボンド(旧アジア版/英語表記) 型番: CRV-AE037 レアリティ/種別: - / PSA10 買取価格: ¥174,800"
暗黒界の軍神シルバ(旧アジア版/英語表記),EEN-AE023,138000,1,,暗黒界の軍神シルバ旧アジア版英語表記,暗黒界の軍神シルバ,EEN-AE023,"暗黒界の軍神シルバ(旧アジア版/英語表記) 型番: EEN-AE023 レアリティ/種別: - / PSA10 買取価格: ¥138,000"
終焉の王デミス/DEMISE KING OF ARMAGEDDON(旧アジア版),SOI-AE035,138000,1,,終焉の王デミスDEMISEKINGOFARMAGEDDON旧アジア版,終焉の王デミスDEMISEKINGOFARMAGEDDON,SOI-AE035,"終焉の王デミス/DEMISE KING OF ARMAGEDDON(旧アジア版) 型番: SOI-AE035 レアリティ/種別: - / PSA10 買取価格: ¥138,000"
暗黒界の武神ゴルド(旧アジア版/英語表記),EEN-AE024,138000,1,,暗黒界の武神ゴルド旧アジア版英語表記,暗黒界の武神ゴルド,EEN-AE024,"暗黒界の武神ゴルド(旧アジア版/英語表記) 型番: EEN-AE024 レアリティ/種別: - / PSA10 買取価格: ¥138,000"
E・HEROエッジマン(旧アジア版/英語表記),EEN-AE007,138000,1,,EHEROエッジマン旧アジア版英語表記,EHEROエッジマン,EEN-AE007,"E・HEROエッジマン(旧アジア版/英語表記) 型番: EEN-AE007 レアリティ/種別: - / PSA10 買取価格: ¥138,000"
鳳凰神の羽根(旧アジア版/英語表記),FET-AE037,101200,1,,鳳凰神の羽根旧アジア版英語表記,鳳凰神の羽根,FET-AE037,"鳳凰神の羽根(旧アジア版/英語表記) 型番: FET-AE037 レアリティ/種別: - / PSA10 買取価格: ¥101,200"
(レリーフ) 仮面魔獣マスクドヘルレイザー,SM-00,386000,1,RELIEF,レリフ仮面魔獣マスクドヘルレイザ,仮面魔獣マスクドヘルレイザ,SM-00,"(レリーフ) 仮面魔獣マスクドヘルレイザー 型番: SM-00 レアリティ/種別: - / PSA10 買取価格: ¥386,000"
